SUBJ	condition	language	PUPIL_SIZE	CCC	rating_natural
2242	NEUTRAL	ENGLISH	1510,12	08bENGLISH	3,72
2895	NEGATIVE	ENGLISH	1510,88	17aENGLISH	6,24
2895	NEGATIVE	ENGLISH	1511,23	05aENGLISH	3,84
2242	NEGATIVE	ENGLISH	1511,44	19aENGLISH	4,24
3266	NEGATIVE	ENGLISH	1512,07	15aENGLISH	5,32
2895	NEGATIVE	ENGLISH	1512,49	06aENGLISH	5,64
1512	NEGATIVE	ENGLISH	1512,82	02aENGLISH	6,04
2895	NEGATIVE	ENGLISH	1513	20aENGLISH	3,08
708	NEUTRAL	ENGLISH	1513,11	06bENGLISH	4,24
2242	NEUTRAL	ENGLISH	1513,39	19bENGLISH	5,04
1512	NEGATIVE	ENGLISH	1514,22	15aENGLISH	5,32
708	NEUTRAL	ENGLISH	1514,25	05bENGLISH	5,36
2895	NEUTRAL	ENGLISH	1515,29	03bENGLISH	5
3266	NEGATIVE	ENGLISH	1518,49	08aENGLISH	6,4
2895	NEUTRAL	ENGLISH	1518,76	04bENGLISH	4,44
3716	NEUTRAL	ENGLISH	1519,79	08bENGLISH	3,72
2895	NEGATIVE	ENGLISH	1519,96	08aENGLISH	6,4
3266	NEUTRAL	ENGLISH	1520,29	10bENGLISH	5,6
2242	NEGATIVE	ENGLISH	1520,62	06aENGLISH	5,64
2895	NEGATIVE	ENGLISH	1521,38	01aENGLISH	5,8
2242	NEUTRAL	ENGLISH	1522,15	03bENGLISH	5
1512	NEGATIVE	ENGLISH	1522,33	06aENGLISH	5,64
3266	NEUTRAL	ENGLISH	1523,34	01bENGLISH	4
2242	NEGATIVE	ENGLISH	1523,55	14aENGLISH	4,8
1512	NEGATIVE	ENGLISH	1523,58	20aENGLISH	3,08
3789	NEGATIVE	ENGLISH	1523,71	09aENGLISH	5,28
708	NEGATIVE	ENGLISH	1523,84	13aENGLISH	5,88
4353	NEUTRAL	ENGLISH	1524,12	09bENGLISH	5,48
4423	NEUTRAL	ENGLISH	1524,43	16bENGLISH	4,52
